sex,Age,BP_Percentile,Type,height_percentile,bp_value
M,1,50th,Systolic,5th,85
M,1,50th,Diastolic,5th,40
M,1,90th,Systolic,5th,98
M,1,90th,Diastolic,5th,52
M,1,95th,Systolic,5th,102
M,1,95th,Diastolic,5th,54
M,2,50th,Systolic,5th,87
M,2,50th,Diastolic,5th,43
M,2,90th,Systolic,5th,100
M,2,90th,Diastolic,5th,55
M,2,95th,Systolic,5th,104
M,2,95th,Diastolic,5th,57
M,3,50th,Systolic,5th,88
M,3,50th,Diastolic,5th,45
M,3,90th,Systolic,5th,101
M,3,90th,Diastolic,5th,58
M,3,95th,Systolic,5th,106
M,3,95th,Diastolic,5th,60
M,4,50th,Systolic,5th,90
M,4,50th,Diastolic,5th,48
M,4,90th,Systolic,5th,102
M,4,90th,Diastolic,5th,60
M,4,95th,Systolic,5th,107
M,4,95th,Diastolic,5th,63
M,5,50th,Systolic,5th,91
M,5,50th,Diastolic,5th,96
M,5,90th,Systolic,5th,103
M,5,90th,Diastolic,5th,63
M,5,95th,Systolic,5th,107
M,5,95th,Diastolic,5th,66
M,6,50th,Systolic,5th,93
M,6,50th,Diastolic,5th,54
M,6,90th,Systolic,5th,105
M,6,90th,Diastolic,5th,66
M,6,95th,Systolic,5th,108
M,6,95th,Diastolic,5th,69
M,7,50th,Systolic,5th,94
M,7,50th,Diastolic,5th,56
M,7,90th,Systolic,5th,106
M,7,90th,Diastolic,5th,68
M,7,95th,Systolic,5th,110
M,7,95th,Diastolic,5th,71
M,8,50th,Systolic,5th,95
M,8,50th,Diastolic,5th,57
M,8,90th,Systolic,5th,107
M,8,90th,Diastolic,5th,69
M,8,95th,Systolic,5th,111
M,8,95th,Diastolic,5th,72
M,9,50th,Systolic,5th,96
M,9,50th,Diastolic,5th,57
M,9,90th,Systolic,5th,107
M,9,90th,Diastolic,5th,70
M,9,95th,Systolic,5th,112
M,9,95th,Diastolic,5th,74
M,10,50th,Systolic,5th,97
M,10,50th,Diastolic,5th,59
M,10,90th,Systolic,5th,108
M,10,90th,Diastolic,5th,72
M,10,95th,Systolic,5th,112
M,10,95th,Diastolic,5th,76
M,11,50th,Systolic,5th,99
M,11,50th,Diastolic,5th,61
M,11,90th,Systolic,5th,110
M,11,90th,Diastolic,5th,74
M,11,95th,Systolic,5th,114
M,11,95th,Diastolic,5th,77
M,12,50th,Systolic,5th,101
M,12,50th,Diastolic,5th,61
M,12,90th,Systolic,5th,113
M,12,90th,Diastolic,5th,75
M,12,95th,Systolic,5th,116
M,12,95th,Diastolic,5th,78
M,13,50th,Systolic,5th,103
M,13,50th,Diastolic,5th,61
M,13,90th,Systolic,5th,115
M,13,90th,Diastolic,5th,74
M,13,95th,Systolic,5th,119
M,13,95th,Diastolic,5th,78
M,14,50th,Systolic,5th,105
M,14,50th,Diastolic,5th,60
M,14,90th,Systolic,5th,119
M,14,90th,Diastolic,5th,74
M,14,95th,Systolic,5th,123
M,14,95th,Diastolic,5th,77
M,15,50th,Systolic,5th,108
M,15,50th,Diastolic,5th,61
M,15,90th,Systolic,5th,123
M,15,90th,Diastolic,5th,75
M,15,95th,Systolic,5th,127
M,15,95th,Diastolic,5th,78
M,16,50th,Systolic,5th,111
M,16,50th,Diastolic,5th,63
M,16,90th,Systolic,5th,126
M,16,90th,Diastolic,5th,77
M,16,95th,Systolic,5th,130
M,16,95th,Diastolic,5th,80
M,17,50th,Systolic,5th,114
M,17,50th,Diastolic,5th,65
M,17,90th,Systolic,5th,128
M,17,90th,Diastolic,5th,78
